	SNP	Chromosome	Position	trait1
1	ENSG00000130544	19	7069454	1.02061624981247e-10
2	ENSG00000159882	19	44507099	1.18471571127972e-08
3	ENSG00000173875	19	12721731	9.28906574891679e-08
4	ENSG00000164093	4	111538578	1.30110404155876e-07
5	ENSG00000170178	2	176964457	2.89756226849371e-07
6	ENSG00000187855	12	108168161	3.24634432934769e-07
7	ENSG00000172006	19	2819871	5.04740031299447e-07
8	ENSG00000171872	1	44584521	5.17911599425197e-07
9	ENSG00000138136	10	102986732	8.33064732981099e-07
10	ENSG00000162624	1	75594118	1.36412751878041e-06
11	ENSG00000171469	19	9715355	1.79871292334583e-06
12	ENSG00000167384	19	44979853	1.90748160944249e-06
13	ENSG00000197757	12	54384407	4.6360284618434e-06
14	ENSG00000256294	19	44616333	5.83435154786101e-06
15	ENSG00000086102	9	33290508	5.89796082425799e-06
16	ENSG00000185670	11	62518434	7.42805829278259e-06
17	ENSG00000149948	12	66217910	9.98524310782544e-06
18	ENSG00000197587	1	46972667	1.00904227251206e-05
19	ENSG00000124216	20	48599535	1.08809475843894e-05
20	ENSG00000142065	19	36827161	1.23744922196479e-05
21	ENSG00000176887	2	5832798	1.24905882631176e-05
22	ENSG00000172789	12	54426636	1.48608309362194e-05
23	ENSG00000171817	19	38042307	1.98465212106756e-05
24	ENSG00000185122	8	145515279	2.28955752976916e-05
25	ENSG00000128713	2	176968943	2.52864346270069e-05
26	ENSG00000185811	7	50344377	2.72496785171973e-05
27	ENSG00000131668	9	96713904	2.86835745311355e-05
28	ENSG00000124203	20	57766074	2.92104637332865e-05
29	ENSG00000151500	11	134118172	2.97328294196877e-05
30	ENSG00000197054	19	12035889	3.20479436484341e-05
31	ENSG00000198081	18	5289017	3.37014580486327e-05
32	ENSG00000159184	17	46802124	3.76059636561247e-05
33	ENSG00000037965	12	54402831	3.81151913432199e-05
34	ENSG00000113196	5	153854531	3.85942147468478e-05
35	ENSG00000188283	19	37708827	4.36728773482846e-05
36	ENSG00000092607	1	119425668	5.62479378686717e-05
37	ENSG00000147421	8	28747910	6.49339799559418e-05
38	ENSG00000129152	11	17741114	6.67337285710881e-05
39	ENSG00000143006	1	53925071	6.98870455378617e-05
40	ENSG00000100105	22	31721789	7.13512881130848e-05
42	ENSG00000196466	19	12500829	7.40408754914006e-05
43	ENSG00000123364	12	54332534	8.47481758457847e-05
44	ENSG00000066697	9	103189437	9.08084849790541e-05
45	ENSG00000117010	1	40997232	9.20287365509448e-05
46	ENSG00000168505	2	237073878	0.000111164688610128
47	ENSG00000111206	12	2966846	0.000114516695890676
48	ENSG00000130803	19	9251055	0.000117451876946433
49	ENSG00000091656	8	77593453	0.000120504712325651
50	ENSG00000175592	11	65659519	0.000134870867408936
51	ENSG00000197044	19	11877814	0.000135874300199826
52	ENSG00000184937	11	32409320	0.000140497249530547
53	ENSG00000196646	19	12273878	0.000141091900593087
54	ENSG00000148704	10	118888031	0.000142271524060904
55	ENSG00000148826	10	134598296	0.000149797315989471
56	ENSG00000113430	5	1877540	0.000158752620637671
57	ENSG00000156853	16	30613878	0.000178294604887802
58	ENSG00000183072	5	172659111	0.000188481125683857
59	ENSG00000180787	17	4981542	0.00019016154632164
60	ENSG00000197841	19	35225059	0.000204067632899301
61	ENSG00000197857	19	12335500	0.000204148971750007
62	ENSG00000139515	13	28494156	0.000208916849053247
63	ENSG00000196653	3	44754134	0.000215397324943918
64	ENSG00000176678	16	86609973	0.000237833517873527
65	ENSG00000198715	1	156259879	0.000238250764703749
66	ENSG00000181896	19	19779662	0.000246697439675381
67	ENSG00000179456	1	244214584	0.000248098283253946
68	ENSG00000196275	7	74210482	0.000248946138249696
69	ENSG00000128714	2	176957618	0.000301184438670127
70	ENSG00000159917	19	44732881	0.000310244540148161
71	ENSG00000249709	19	12636183	0.000323527044096276
73	ENSG00000130818	19	9638666	0.000329265012590569
74	ENSG00000180855	19	12540520	0.000347913098932897
75	ENSG00000137309	6	34204649	0.00036088893518732
76	ENSG00000163064	2	119599746	0.000364184424932415
77	ENSG00000176407	2	85198215	0.000371386457803819
78	ENSG00000179059	4	188916924	0.000388030567798775
79	ENSG00000132846	5	76367896	0.000413409023969718
80	ENSG00000073861	17	45810609	0.000415914639808196
82	ENSG00000136603	3	170075465	0.000427646709917377
83	ENSG00000221818	8	25699245	0.000433766564036859
84	ENSG00000101057	20	42295753	0.000433904974415028
85	ENSG00000196605	19	9862668	0.000467489290511876
86	ENSG00000267680	19	44598491	0.000510470341619472
87	ENSG00000166526	7	99661655	0.000581639035869024
88	ENSG00000179111	17	8023907	0.000582108012935572
89	ENSG00000186496	18	32946660	0.000617495456648103
90	ENSG00000115163	2	26987156	0.000637382649983772
91	ENSG00000229809	16	30580666	0.000682217769131553
92	ENSG00000109381	4	139978373	0.000723740372355765
93	ENSG00000180053	8	23559963	0.000740242170125951
94	ENSG00000168826	4	4291923	0.000768635719234385
95	ENSG00000167528	12	48733790	0.000796848715665024
96	ENSG00000139800	13	100615217	0.000807086759841756
97	ENSG00000165556	13	28536273	0.00082267796648064
98	ENSG00000163909	1	40089824	0.000838019730028354
99	ENSG00000127445	19	9945932	0.000920001038810359
100	ENSG00000186446	3	44771087	0.000942200467913496
101	ENSG00000122691	7	19060613	0.000966855468652945
102	ENSG00000178386	19	44555519	0.00096940445994741
103	ENSG00000019549	8	49830248	0.00100263800874722
104	ENSG00000172748	8	182136	0.00103869333820689
105	ENSG00000108924	17	53342372	0.00105952786675544
106	ENSG00000197016	19	57078879	0.00107729732244575
107	ENSG00000196812	6	28092337	0.00107971185668886
108	ENSG00000146285	6	108025307	0.00108972698300508
109	ENSG00000083814	19	58231118	0.00113769126941943
110	ENSG00000169955	16	30537243	0.00113808622239485
111	ENSG00000188868	19	12428290	0.00118792716191825
112	ENSG00000129535	14	24549315	0.00119661531563652
113	ENSG00000136169	13	50018428	0.00124096310089038
114	ENSG00000089116	12	113899838	0.00131485576117986
115	ENSG00000165030	9	94171326	0.00131756588736729
116	ENSG00000018869	19	56887412	0.00131861604441336
117	ENSG00000225614	16	88493878	0.00132435063798739
118	ENSG00000106948	9	117096435	0.00136342905858874
119	ENSG00000197933	19	11832079	0.00139120296544447
120	ENSG00000101115	20	50400580	0.0013912559234927
121	ENSG00000186951	22	46546423	0.00139918950062471
122	ENSG00000123388	12	54366909	0.00141313238594621
123	ENSG00000177468	6	137813335	0.00142387748065756
124	ENSG00000197123	7	63688851	0.00142955122164991
125	ENSG00000136944	9	129376721	0.00145255700020042
126	ENSG00000237765	4	15683284	0.00146707408960479
127	ENSG00000214534	11	71525090	0.00149557702143047
128	ENSG00000109705	4	13542453	0.00150443504236108
129	ENSG00000198939	5	178322894	0.00151991391175755
130	ENSG00000106038	7	27282163	0.00155337663174591
131	ENSG00000156273	21	30566391	0.00155972991261737
132	ENSG00000151623	4	148999912	0.00157440763692219
133	ENSG00000168152	4	83821836	0.00158588815670815
134	ENSG00000170689	17	46698517	0.00160613759354916
135	ENSG00000197063	17	79876145	0.00161696882235281
136	ENSG00000157429	16	71512185	0.00165410597937928
137	ENSG00000171970	19	2900895	0.00168254756341445
138	ENSG00000174428	7	74508363	0.00169720164540534
139	ENSG00000131849	19	58944180	0.00173095951261791
140	ENSG00000213921	19	40267234	0.00180423522629454
141	ENSG00000166211	12	101869198	0.00180635540543248
142	ENSG00000174796	4	76439155	0.00180832992956448
143	ENSG00000182111	7	57509882	0.00181930679588728
144	ENSG00000175197	12	57910370	0.00185031706580713
145	ENSG00000074657	18	56529831	0.00189283329099299
146	ENSG00000214029	12	133694739	0.00193171499447044
147	ENSG00000197579	9	32540541	0.00196051797987589
148	ENSG00000188321	19	9434447	0.00197048654581946
149	ENSG00000080298	9	3218296	0.00198076323538546
