	SNP	Chromosome	Position	trait1
1	ENSG00000130544	19	7069454	8.92559034685352e-16
2	ENSG00000159882	19	44507099	1.18471571127972e-08
3	ENSG00000173875	19	12721731	8.52286598497865e-10
4	ENSG00000164093	4	111538578	3.65909391405201e-11
5	ENSG00000170178	2	176964457	3.03303994221782e-09
6	ENSG00000187855	12	108168161	3.55501624275708e-08
7	ENSG00000172006	19	2819871	5.57280653240139e-11
8	ENSG00000171872	1	44584521	5.17911599425197e-07
9	ENSG00000138136	10	102986732	3.35941898772831e-07
10	ENSG00000162624	1	75594118	5.57806483312671e-09
11	ENSG00000171469	19	9715355	1.06476617742558e-09
12	ENSG00000167384	19	44979853	1.90748160944249e-06
13	ENSG00000197757	12	54384407	2.78771842609285e-08
14	ENSG00000256294	19	44616333	5.83435154786101e-06
15	ENSG00000086102	9	33290508	6.01625678736725e-07
16	ENSG00000185670	11	62518434	1.66042861213052e-07
17	ENSG00000149948	12	66217910	2.28275162120929e-15
18	ENSG00000197587	1	46972667	2.85199123838219e-09
19	ENSG00000124216	20	48599535	2.47791481614594e-11
20	ENSG00000142065	19	36827161	1.95072489790215e-07
21	ENSG00000176887	2	5832798	2.90466697214905e-11
22	ENSG00000172789	12	54426636	3.06265089423294e-07
23	ENSG00000171817	19	38042307	4.56724193776654e-13
24	ENSG00000185122	8	145515279	4.35143474164199e-07
25	ENSG00000128713	2	176968943	1.08858877958169e-07
26	ENSG00000185811	7	50344377	1.67076373524223e-07
27	ENSG00000131668	9	96713904	1.64254697955134e-10
28	ENSG00000124203	20	57766074	1.22555142736714e-13
29	ENSG00000151500	11	134118172	4.14125080750717e-07
30	ENSG00000197054	19	12035889	3.1894260861235e-13
31	ENSG00000198081	18	5289017	3.37014580486327e-05
32	ENSG00000159184	17	46802124	6.39035559023645e-07
33	ENSG00000037965	12	54402831	8.03488941736885e-09
34	ENSG00000113196	5	153854531	7.04474355611617e-06
35	ENSG00000188283	19	37708827	3.85901898472615e-06
36	ENSG00000092607	1	119425668	5.38425777222725e-06
37	ENSG00000147421	8	28747910	6.49339799559418e-05
38	ENSG00000129152	11	17741114	2.13067307838547e-08
39	ENSG00000143006	1	53925071	6.98870455378617e-05
40	ENSG00000100105	22	31721789	4.0203617529128e-07
42	ENSG00000196466	19	12500829	1.30263321120317e-05
43	ENSG00000123364	12	54332534	2.39624498099931e-06
44	ENSG00000066697	9	103189437	5.1261978897413e-10
45	ENSG00000117010	1	40997232	1.61495374161133e-09
46	ENSG00000168505	2	237073878	4.11029323353147e-05
47	ENSG00000111206	12	2966846	2.36268506675591e-19
48	ENSG00000130803	19	9251055	2.48860727625517e-06
49	ENSG00000091656	8	77593453	1.95462623656879e-11
50	ENSG00000175592	11	65659519	4.74161164242342e-11
51	ENSG00000197044	19	11877814	8.44652463381371e-09
52	ENSG00000184937	11	32409320	2.1870594965982e-09
53	ENSG00000196646	19	12273878	6.54770400896788e-09
54	ENSG00000148704	10	118888031	1.66523249602394e-07
55	ENSG00000148826	10	134598296	0.000149797315989471
56	ENSG00000113430	5	1877540	0.000158752620637671
57	ENSG00000156853	16	30613878	0.00013948544272536
58	ENSG00000183072	5	172659111	1.54900802775226e-07
59	ENSG00000180787	17	4981542	2.5933594908297e-10
60	ENSG00000197841	19	35225059	2.53455482207945e-09
61	ENSG00000197857	19	12335500	8.60182109623539e-10
62	ENSG00000139515	13	28494156	1.28875437499103e-05
63	ENSG00000196653	3	44754134	6.99852304748759e-07
64	ENSG00000176678	16	86609973	2.25495340113263e-05
65	ENSG00000198715	1	156259879	8.64541329504014e-06
66	ENSG00000181896	19	19779662	1.01161543020812e-10
67	ENSG00000179456	1	244214584	1.21964504517006e-06
68	ENSG00000196275	7	74210482	1.81973073052729e-08
69	ENSG00000128714	2	176957618	4.65023063954095e-06
70	ENSG00000159917	19	44732881	1.73700736088615e-05
71	ENSG00000249709	19	12636183	5.80203929949989e-06
73	ENSG00000130818	19	9638666	1.02480214857265e-07
74	ENSG00000180855	19	12540520	6.85677155787157e-10
75	ENSG00000137309	6	34204649	2.21461830514726e-14
76	ENSG00000163064	2	119599746	4.47112047675783e-07
77	ENSG00000176407	2	85198215	1.35615404852262e-05
78	ENSG00000179059	4	188916924	4.12352635724112e-05
